Število spletnih nakupov, ki so jih opravili posamezniki v zadnjih 12 mesecih, po vrsti izdelka ali storitve, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;E-NAKUPI  PO VRSTI IZDELKA ALI STORITVE;16–24;25–34;35–44;45–54;55–64;65–74
2009;Posamezniki – SKUPAJ;222890;300386;300148;312086;254329;188839
2009;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);8056;20039;15913;3087;1018;-
2009;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);20009;56967;31405;13873;10727;1490
2009;..Zdravila, prehranska dopolnila;496;3683;5359;486;837;693
2009;..Oblaèila, športno opremo, èevlje;40221;45810;39897;19272;2486;-
2009;..Raèunalniško strojno opremo;25066;28427;15660;3074;1628;-
2009;..Elektronsko opremo (vkljuèno s kamerami);10217;24724;8389;6295;3666;-
2009;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);4954;17624;11645;6510;1528;-
2009;..Delnice, finanène storitve, zavarovanje;514;5171;2221;1399;-;-
2009;..Turistiène nastanitvene zmogljivosti;7689;32615;32050;9116;8832;-
2009;..Potovanja, poèitniško namestitev;14193;40771;37912;16344;9480;-
2009;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);9426;26242;19188;14039;2799;-
2009;..Vstopnice za prireditve;21979;36186;20892;10463;2796;-
2009;..Filme, glasbo;13928;23000;14860;5523;1957;-
2009;..Knjige, revije, èasopise;-;-;-;-;-;-
2009;..Elektronsko uèno gradivo;-;-;-;-;-;-
2009;..Knjige, revije, èasopisi, elektronsko uèno gradivo;15403;37681;23809;16754;6014;993
2009;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;-;-;-;-;-;-
2009;..Raèunalniško programsko opremo (vkljuèno z video igricami);23623;23824;16071;7323;4886;-
2009;..Raèunalniške oz. videoigre in posodobitve;10432;15254;10694;4136;755;-
2009;..Drugo raèunalniško programsko opremo in posodobitve;16228;20252;10600;6541;4886;-
2009;..Loterija, stave;-;-;-;-;-;-
2009;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2009;..Druge izdelke ali storitve;5698;11773;3176;2404;7340;-
2010;Posamezniki – SKUPAJ;218027;306771;302328;310519;256111;183336
2010;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);12668;22946;13903;8366;5030;1849
2010;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);27544;56520;33484;19067;11346;2635
2010;..Zdravila, prehranska dopolnila;-;6369;8039;5376;1956;-
2010;..Oblaèila, športno opremo, èevlje;35042;60268;39368;15771;6187;1030
2010;..Raèunalniško strojno opremo;20598;45507;19334;17107;4722;1875
