Število in ocenjena vrednost spletnih nakupov, ki so jih opravili posamezniki v zadnjih 3 mesecih, po stopnji urbanizacije obmoèja, v katerem ti posamezniki živijo, Slovenija, letno;;;;;;
;;;;;;
LETO;ŠTEVILO IN VREDNOST SPLETNIH NAKUPOV;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja;Vzhodna Slovenija;Zahodna Slovenija
2015;..1–2 nakupa;56202;69388;103867;118761;110696
2015;..3–5 nakupov;24165;50418;63451;70190;67844
2015;..6–10 nakupov;9245;19396;20648;25486;23804
2015;..Veè kot 10 nakupov;8086;4622;4756;6228;11237
2015;..Vrednost manjša kot 50 EUR;28538;41892;48587;59154;59864
2015;..Vrednost od 50 do 99 EUR;27925;44622;57493;64605;65434
2015;..Vrednost od 100 do 499 EUR;29285;45589;66119;73763;67231
2015;..Vrednost od 500 do 999 EUR;6916;7093;12406;17175;9240
2015;..Vrednost 1000 EUR ali veè;5034;4627;4747;3805;10603
2016;..1–2 nakupa;35635;61660;106189;106109;97376
2016;..3–5 nakupov;36312;50782;85232;93706;78620
2016;..6–10 nakupov;21312;15021;20981;21192;36122
2016;..Veè kot 10 nakupov;2031;12186;10314;12621;11910
2016;..Vrednost manjša kot 50 EUR;27773;42436;66222;67627;68805
2016;..Vrednost od 50 do 99 EUR;18460;41468;56944;66950;49922
2016;..Vrednost od 100 do 499 EUR;35871;43597;80041;81944;77564
2016;..Vrednost od 500 do 999 EUR;6632;8849;12525;13018;14989
2016;..Vrednost 1000 EUR ali veè;6554;3299;6983;4090;12746
2017;..1–2 nakupa;40796;97492;112145;134452;115980
2017;..3–5 nakupov;45138;74737;69310;93995;95189
2017;..6–10 nakupov;15901;14558;33923;30695;33687
2017;..Veè kot 10 nakupov;6274;8547;13619;17140;11299
2017;..Vrednost manjša kot 50 EUR;23076;60397;81975;105497;59951
2017;..Vrednost od 50 do 99 EUR;30999;56242;57293;69221;75313
2017;..Vrednost od 100 do 499 EUR;41041;58121;73389;78439;94113
2017;..Vrednost od 500 do 999 EUR;6383;8607;7346;12267;10069
2017;..Vrednost 1000 EUR ali veè;5695;6647;8993;8895;12440
2018;..1–2 nakupa;55054;123778;125865;149530;155167
2018;..3–5 nakupov;42311;75293;81134;101660;97079
2018;..6–10 nakupov;18329;14445;23282;27194;28862
2018;..Veè kot 10 nakupov;15873;13744;9407;18353;20671
2018;..Vrednost manjša kot 50 EUR;26214;83413;78883;99083;89426
2018;..Vrednost od 50 do 99 EUR;47186;61057;74684;92898;90029
2018;..Vrednost od 100 do 499 EUR;38263;60851;68312;81233;86193
2018;..Vrednost od 500 do 999 EUR;12722;11613;11213;11751;23797
2018;..Vrednost 1000 EUR ali veè;2130;6502;3979;6608;6002
2019;..1–2 nakupa;72273;121391;162980;175752;180892
2019;..3–5 nakupov;40869;97227;93254;105832;125518
2019;..6–10 nakupov;18129;24340;18808;22603;38674
2019;..Veè kot 10 nakupov;12910;15240;14659;16229;26580
2019;..Vrednost manjša kot 50 EUR;34910;81148;95822;106878;105003
2019;..Vrednost od 50 do 99 EUR;41910;71718;78377;87554;104452
2019;..Vrednost od 100 do 499 EUR;45608;77761;85132;96348;112153
2019;..Vrednost od 500 do 999 EUR;11426;9000;14349;12177;22598
2019;..Vrednost 1000 EUR ali veè;9444;12972;6831;10234;19012
